timestamp,gpu_id,gpu_name,gpu_util%,mem_used_mb,mem_total_mb,mem_util%,temp_c,power_w
2026-04-23 01:34:08,0, NVIDIA A800-SXM4-80GB, 0, 0, 81920, 0, 27, 58.00
2026-04-23 01:34:08,1, NVIDIA A800-SXM4-80GB, 0, 0, 81920, 0, 40, 62.43
2026-04-23 01:34:13,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 27, 58.40
2026-04-23 01:34:13,1, NVIDIA A800-SXM4-80GB, 0, 1, 81920, 0, 40, 62.10
2026-04-23 01:34:18,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 27, 58.12
2026-04-23 01:34:18,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 40, 62.10
2026-04-23 01:34:23,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 26, 58.06
2026-04-23 01:34:23,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 40, 62.04
2026-04-23 01:34:28,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 27, 58.28
2026-04-23 01:34:28,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 40, 62.10
2026-04-23 01:34:34,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 26, 58.00
2026-04-23 01:34:34,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 40, 62.04
2026-04-23 01:34:39,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 26, 58.28
2026-04-23 01:34:39,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 40, 62.10
2026-04-23 01:34:44,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 26, 58.06
2026-04-23 01:34:44,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 40, 61.89
2026-04-23 01:34:49,0, NVIDIA A800-SXM4-80GB, 0, 424, 81920, 0, 27, 63.91
2026-04-23 01:34:49,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 39, 61.89
2026-04-23 01:34:54,0, NVIDIA A800-SXM4-80GB, 0, 424, 81920, 0, 27, 64.19
2026-04-23 01:34:54,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 39, 61.83
2026-04-23 01:34:59,0, NVIDIA A800-SXM4-80GB, 37, 11270, 81920, 5, 27, 66.89
2026-04-23 01:34:59,1, NVIDIA A800-SXM4-80GB, 99, 11962, 81920, 5, 41, 103.98
2026-04-23 01:35:04,0, NVIDIA A800-SXM4-80GB, 16, 30330, 81920, 11, 27, 64.13
2026-04-23 01:35:04,1, NVIDIA A800-SXM4-80GB, 100, 29008, 81920, 10, 41, 83.98
2026-04-23 01:35:09,0, NVIDIA A800-SXM4-80GB, 9, 30360, 81920, 0, 27, 64.19
2026-04-23 01:35:09,1, NVIDIA A800-SXM4-80GB, 100, 962, 81920, 3, 40, 86.41
2026-04-23 01:35:14,0, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 27, 64.13
2026-04-23 01:35:14,1, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 39, 67.89
2026-04-23 01:35:20,0, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 27, 64.73
2026-04-23 01:35:20,1, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 39, 68.50
2026-04-23 01:35:25,0, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 27, 64.46
2026-04-23 01:35:25,1, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 38, 67.89
2026-04-23 01:35:30,0, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 27, 65.06
2026-04-23 01:35:30,1, NVIDIA A800-SXM4-80GB, 0, 962, 81920, 0, 38, 67.75
2026-04-23 01:35:35,0, NVIDIA A800-SXM4-80GB, 8, 1482, 81920, 0, 27, 64.13
2026-04-23 01:35:35,1, NVIDIA A800-SXM4-80GB, 7, 1482, 81920, 0, 38, 67.96
2026-04-23 01:35:40,0, NVIDIA A800-SXM4-80GB, 40, 42132, 81920, 31, 32, 122.79
2026-04-23 01:35:40,1, NVIDIA A800-SXM4-80GB, 40, 42132, 81920, 31, 43, 164.09
2026-04-23 01:35:45,0, NVIDIA A800-SXM4-80GB, 100, 42140, 81920, 3, 28, 83.14
2026-04-23 01:35:45,1, NVIDIA A800-SXM4-80GB, 100, 42140, 81920, 3, 40, 86.33
2026-04-23 01:35:50,0, NVIDIA A800-SXM4-80GB, 0, 42140, 81920, 0, 28, 64.19
2026-04-23 01:35:50,1, NVIDIA A800-SXM4-80GB, 0, 42140, 81920, 0, 39, 67.96
2026-04-23 01:35:55,0, NVIDIA A800-SXM4-80GB, 100, 43132, 81920, 73, 39, 303.30
2026-04-23 01:35:55,1, NVIDIA A800-SXM4-80GB, 100, 43132, 81920, 73, 52, 321.73
2026-04-23 01:36:00,0, NVIDIA A800-SXM4-80GB, 100, 43132, 81920, 75, 41, 292.87
2026-04-23 01:36:00,1, NVIDIA A800-SXM4-80GB, 100, 43132, 81920, 77, 54, 315.28
